Source,Target,Weight,Type
Flintlock Musket (Brown B,Flintlock Pistol & Cavalr,1,Timeline_Evolves
Flintlock Pistol & Cavalr,Springfield Model 1841 Ri,1,Timeline_Evolves
Springfield Model 1841 Ri,Rifled Musket (Springfiel,1,Timeline_Evolves
Rifled Musket (Springfiel,Gatling Gun Model 1861,1,Timeline_Evolves
Gatling Gun Model 1861,Ironclad Warships,1,Timeline_Evolves
Ironclad Warships,Krag-Jorgensen & M1893 Sp,1,Timeline_Evolves
Krag-Jorgensen & M1893 Sp,M1917 Enfield / M1903 Spr,1,Timeline_Evolves
M1917 Enfield / M1903 Spr,M1918 BAR,1,Timeline_Evolves
M1918 BAR,M1 Garand,1,Timeline_Evolves
M1 Garand,M3 Grease Gun Submachine ,1,Timeline_Evolves
M3 Grease Gun Submachine ,M1 Carbine,1,Timeline_Evolves
M1 Carbine,Atomic Bomb,1,Timeline_Evolves
Atomic Bomb,M14 Rifle,1,Timeline_Evolves
M14 Rifle,Hydrogen Bomb,1,Timeline_Evolves
Hydrogen Bomb,M16 Rifle,1,Timeline_Evolves
M16 Rifle,M60 General Purpose Machi,1,Timeline_Evolves
M60 General Purpose Machi,AGM-45 Shrike Anti-radiat,1,Timeline_Evolves
AGM-45 Shrike Anti-radiat,M1A1 Abrams Tank,1,Timeline_Evolves
M1A1 Abrams Tank,F-117 Nighthawk Stealth A,1,Timeline_Evolves
F-117 Nighthawk Stealth A,Tomahawk Cruise Missile,1,Timeline_Evolves
Tomahawk Cruise Missile,MQ-1 Predator Drone,1,Timeline_Evolves
MQ-1 Predator Drone,M4 Carbine Modernized,1,Timeline_Evolves
M4 Carbine Modernized,F-35 Lightning II Block 4,1,Timeline_Evolves
F-35 Lightning II Block 4,Switchblade 600 Kamikaze ,1,Timeline_Evolves
Switchblade 600 Kamikaze ,AI-Powered ISR (Gorgon/St,1,Timeline_Evolves
AI-Powered ISR (Gorgon/St,LAWS Lethal Autonomous We,1,Timeline_Evolves
Flintlock Musket (Brown B,Flintlock Pistol & Cavalr,2,Same_War
Rifled Musket (Springfiel,Gatling Gun Model 1861,2,Same_War
Rifled Musket (Springfiel,Ironclad Warships,2,Same_War
Gatling Gun Model 1861,Ironclad Warships,2,Same_War
M1917 Enfield / M1903 Spr,M1918 BAR,2,Same_War
M1 Garand,M3 Grease Gun Submachine ,2,Same_War
M1 Garand,M1 Carbine,2,Same_War
M1 Garand,Atomic Bomb,2,Same_War
M3 Grease Gun Submachine ,M1 Carbine,2,Same_War
M3 Grease Gun Submachine ,Atomic Bomb,2,Same_War
M1 Carbine,Atomic Bomb,2,Same_War
M16 Rifle,M60 General Purpose Machi,2,Same_War
M16 Rifle,AGM-45 Shrike Anti-radiat,2,Same_War
M60 General Purpose Machi,AGM-45 Shrike Anti-radiat,2,Same_War
M1A1 Abrams Tank,F-117 Nighthawk Stealth A,2,Same_War
M1A1 Abrams Tank,Tomahawk Cruise Missile,2,Same_War
F-117 Nighthawk Stealth A,Tomahawk Cruise Missile,2,Same_War
MQ-1 Predator Drone,M4 Carbine Modernized,2,Same_War
Ironclad Warships,Gatling Gun Model 1861,3,Era_Cluster
M1 Garand,Atomic Bomb,3,Era_Cluster
F-117 Nighthawk Stea,Tomahawk Cruise Miss,3,Era_Cluster
MQ-1 Predator Drone,M4 Carbine Modernize,3,Era_Cluster
AI-Powered ISR (Gorg,LAWS Lethal Autonomo,3,Era_Cluster
