Source,Target,Weight,Type
原料-鋼鐵/Steel,零件-槍管/Barrel,5,supply
原料-鋼鐵/Steel,零件-裝甲/Armor,8,supply
原料-鋁合金/Aluminum,零件-機身/Airframe,7,supply
原料-鈦合金/Titanium,零件-發動機/Engine,9,supply
原料-電子元件/Semiconductor,零件-導引系統/Guidance,10,supply
原料-稀土/RareEarth,零件-感應器/Sensor,8,supply
原料-推進劑/Propellant,零件-火箭引擎/RocketMotor,6,supply
原料-鋰電池/LithiumBattery,零件-動力系統/PowerSystem,7,supply
原料-鋁合金/Aluminum,零件-機翼/Wing,6,supply
零件-槍管/Barrel,組裝-步槍/Rifle,5,assembly
零件-裝甲/Armor,組裝-戰艦/Battlecruiser,9,assembly
零件-機身/Airframe,組裝-飛機/Aircraft,8,assembly
零件-發動機/Engine,組裝-戰艦/Battlecruiser,7,assembly
零件-發動機/Engine,組裝-飛機/Aircraft,8,assembly
零件-導引系統/Guidance,組裝-導彈/Missile,10,assembly
零件-感應器/Sensor,組裝-無人機/Drone,8,assembly
零件-動力系統/PowerSystem,組裝-無人機/Drone,7,assembly
零件-火箭引擎/RocketMotor,組裝-導彈/Missile,9,assembly
零件-機翼/Wing,組裝-飛機/Aircraft,7,assembly
零件-感應器/Sensor,組裝-AI武器/AIWeapon,6,assembly
零件-導引系統/Guidance,組裝-AI武器/AIWeapon,7,assembly
組裝-步槍/Rifle,部署-陸軍/Army,4,deploy
組裝-火炮/Artillery,部署-陸軍/Army,5,deploy
組裝-戰艦/Battlecruiser,部署-海軍/Navy,9,deploy
組裝-飛機/Aircraft,部署-空軍/AirForce,8,deploy
組裝-導彈/Missile,部署-戰略導彈/Strategic,10,deploy
組裝-導彈/Missile,部署-海軍/Navy,8,deploy
組裝-導彈/Missile,部署-空軍/AirForce,9,deploy
組裝-無人機/Drone,部署-空軍/AirForce,7,deploy
組裝-無人機/Drone,部署-陸軍/Army,6,deploy
組裝-AI武器/AIWeapon,部署-戰略導彈/Strategic,8,deploy
火炮/Artillery,原料-鋼鐵/Steel,3,raw
火炮/Artillery,原料-推進劑/Propellant,4,raw
火炮/Artillery,零件-炮管/CannonTube,5,parts
零件-炮管/CannonTube,組裝-火炮/Artillery,5,assembly
